id_passenger,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Segment
000091ba80,110,2,6.2399997711181605,4,4,4,444,Lost Cheap Passenger
0002a00d07,88,26,81.93999862670896,2,1,1,211,Loyal Passenger
0002b64f40,89,8,42.729999542236314,2,2,1,221,Big Spenders
001b825ac3,99,1,3.0,4,4,4,444,Lost Cheap Passenger
0021d4ca39,91,14,64.84999942779541,3,1,1,311,Almost Lost Passenger
00226ee354,86,11,34.35999965667724,1,2,2,122,Recent Passenger
0025a16b22,100,1,3.1199998855590803,4,4,4,444,Lost Cheap Passenger
002a223d72,95,3,9.61999988555908,3,3,3,333,Other
003c48c492,86,5,12.97999954223632,1,3,3,133,Recent Passenger
003d0bbc9c,90,40,121.53999805450437,2,1,1,211,Loyal Passenger
003f6427ae,86,50,141.26999759674067,1,1,1,111,Best Passenger
0046e1ab88,90,10,35.8499994277954,2,2,2,222,Other
0047104d7e,86,9,42.859999656677246,1,2,1,121,Recent Passenger
00485ef56a,87,3,16.25,1,3,3,133,Recent Passenger
0057dc3779,91,4,9.61999988555908,3,3,3,333,Other
0064057e4e,86,12,63.979999542236314,1,2,1,121,Recent Passenger
0065a37800,101,1,3.75,4,4,4,444,Lost Cheap Passenger
0069de3828,87,5,17.97999954223632,1,3,3,133,Recent Passenger
0072661ccb,88,12,36.849999427795396,2,2,2,222,Other
00793b9993,89,13,32.21999931335448,2,2,2,222,Other
007a23a91c,102,4,9.85999965667724,4,3,3,433,Other
0084646800,86,26,65.18999886512755,1,1,1,111,Best Passenger
00923f35a3,86,3,8.73999977111816,1,3,3,133,Recent Passenger
009629f09b,90,1,2.8699998855590803,2,4,4,244,Other
0097aa834c,87,52,180.8699971437454,1,1,1,111,Best Passenger
00a526461c,92,3,7.61999988555908,3,3,4,334,Other
00acec70ff,88,10,49.72999954223633,2,2,1,221,Big Spenders
00b7b40b9b,86,59,127.6799986362457,1,1,1,111,Best Passenger
00bc92ad4d,88,6,26.479999542236317,2,3,2,232,Other
00c0f90e72,95,8,28.35999977588653,3,2,2,322,Other
00c541b618,89,2,6.7399997711181605,2,4,4,244,Other
00cb702e88,86,7,33.989999771118164,1,2,2,122,Recent Passenger
00ce876f11,106,2,7.36999988555908,4,4,4,444,Lost Cheap Passenger
00d0b4bbd9,89,67,199.44999611377708,2,1,1,211,Loyal Passenger
00e0400895,101,6,29.60999965667724,4,3,2,432,Other
00f2d23dbb,87,13,30.08999931812285,1,2,2,122,Recent Passenger
0106b43efa,89,51,176.2299970388412,2,1,1,211,Loyal Passenger
01142b34fc,89,6,21.86999988555908,2,3,2,232,Other
01156f3426,113,2,10.0,4,4,3,443,Other
01181dda59,88,14,53.83999919891357,2,1,1,211,Loyal Passenger
0121f51e14,105,3,9.73999977111816,4,3,3,433,Other
012841bde7,88,4,15.48999977111816,2,3,3,233,Other
0131e82e92,86,2,4.61999988555908,1,4,4,144,Recent Passenger
0146d65339,49,3,18.5,1,3,3,133,Recent Passenger
014ea308b1,86,22,68.96999943256377,1,1,1,111,Best Passenger
