DayOfWeek,HourOfDay,RideToRequestRatio
Monday,00:00:00-00:59:59,0.611
Monday,01:00:00-01:59:59,0.717
Monday,02:00:00-02:59:59,0.585
Monday,03:00:00-03:59:59,0.69
Monday,04:00:00-04:59:59,0.647
Monday,05:00:00-05:59:59,0.73
Monday,06:00:00-06:59:59,0.581
Monday,07:00:00-07:59:59,0.733
Monday,08:00:00-08:59:59,0.778
Monday,09:00:00-09:59:59,0.8
Monday,10:00:00-10:59:59,0.846
Monday,11:00:00-11:59:59,0.56
Monday,12:00:00-12:59:59,0.457
Monday,13:00:00-13:59:59,0.573
Monday,14:00:00-14:59:59,0.701
Monday,15:00:00-15:59:59,0.827
Monday,16:00:00-16:59:59,0.813
Monday,17:00:00-17:59:59,0.757
Monday,18:00:00-18:59:59,0.767
Monday,19:00:00-19:59:59,0.789
Monday,20:00:00-20:59:59,0.661
Monday,21:00:00-21:59:59,0.726
Monday,22:00:00-22:59:59,0.699
Monday,23:00:00-23:59:59,0.702
Tuesday,00:00:00-00:59:59,0.673
Tuesday,01:00:00-01:59:59,0.761
Tuesday,02:00:00-02:59:59,0.774
Tuesday,03:00:00-03:59:59,0.718
Tuesday,04:00:00-04:59:59,0.802
Tuesday,05:00:00-05:59:59,0.796
Tuesday,06:00:00-06:59:59,0.913
Tuesday,07:00:00-07:59:59,0.846
Tuesday,08:00:00-08:59:59,0.875
Tuesday,09:00:00-09:59:59,0.8
Tuesday,10:00:00-10:59:59,0.75
Tuesday,11:00:00-11:59:59,0.683
Tuesday,12:00:00-12:59:59,0.586
Tuesday,13:00:00-13:59:59,0.719
Tuesday,14:00:00-14:59:59,0.871
Tuesday,15:00:00-15:59:59,0.813
Tuesday,16:00:00-16:59:59,0.775
Tuesday,17:00:00-17:59:59,0.701
Tuesday,18:00:00-18:59:59,0.68
Tuesday,19:00:00-19:59:59,0.746
Tuesday,20:00:00-20:59:59,0.69
Tuesday,21:00:00-21:59:59,0.745
Tuesday,22:00:00-22:59:59,0.674
Tuesday,23:00:00-23:59:59,0.605
Wednesday,00:00:00-00:59:59,0.663
Wednesday,01:00:00-01:59:59,0.744
Wednesday,02:00:00-02:59:59,0.785
Wednesday,03:00:00-03:59:59,0.661
Wednesday,04:00:00-04:59:59,0.727
Wednesday,05:00:00-05:59:59,0.737
Wednesday,06:00:00-06:59:59,0.897
Wednesday,07:00:00-07:59:59,0.85
Wednesday,08:00:00-08:59:59,0.35
Wednesday,09:00:00-09:59:59,0.545
Wednesday,10:00:00-10:59:59,0.739
Wednesday,11:00:00-11:59:59,0.705
Wednesday,12:00:00-12:59:59,0.617
Wednesday,13:00:00-13:59:59,0.67
Wednesday,14:00:00-14:59:59,0.805
Wednesday,15:00:00-15:59:59,0.779
Wednesday,16:00:00-16:59:59,0.744
Wednesday,17:00:00-17:59:59,0.756
Wednesday,18:00:00-18:59:59,0.683
Wednesday,19:00:00-19:59:59,0.682
Wednesday,20:00:00-20:59:59,0.585
Wednesday,21:00:00-21:59:59,0.691
Wednesday,22:00:00-22:59:59,0.62
Wednesday,23:00:00-23:59:59,0.581
Thursday,00:00:00-00:59:59,0.619
Thursday,01:00:00-01:59:59,0.673
Thursday,02:00:00-02:59:59,0.79
Thursday,03:00:00-03:59:59,0.701
Thursday,04:00:00-04:59:59,0.684
Thursday,05:00:00-05:59:59,0.711
Thursday,06:00:00-06:59:59,0.8
Thursday,07:00:00-07:59:59,0.583
Thursday,08:00:00-08:59:59,0.591
Thursday,09:00:00-09:59:59,0.75
Thursday,10:00:00-10:59:59,0.8
Thursday,11:00:00-11:59:59,0.713
Thursday,12:00:00-12:59:59,0.554
Thursday,13:00:00-13:59:59,0.622
Thursday,14:00:00-14:59:59,0.743
Thursday,15:00:00-15:59:59,0.821
Thursday,16:00:00-16:59:59,0.778
Thursday,17:00:00-17:59:59,0.75
Thursday,18:00:00-18:59:59,0.707
Thursday,19:00:00-19:59:59,0.767
Thursday,20:00:00-20:59:59,0.661
Thursday,21:00:00-21:59:59,0.725
Thursday,22:00:00-22:59:59,0.61
Thursday,23:00:00-23:59:59,0.596
Friday,00:00:00-00:59:59,0.588
Friday,01:00:00-01:59:59,0.695
Friday,02:00:00-02:59:59,0.722
Friday,03:00:00-03:59:59,0.657
Friday,04:00:00-04:59:59,0.68
Friday,05:00:00-05:59:59,0.667
Friday,06:00:00-06:59:59,0.741
Friday,07:00:00-07:59:59,0.6
Friday,08:00:00-08:59:59,0.765
Friday,09:00:00-09:59:59,0.6
Friday,10:00:00-10:59:59,0.815
Friday,11:00:00-11:59:59,0.617
Friday,12:00:00-12:59:59,0.482
Friday,13:00:00-13:59:59,0.528
Friday,14:00:00-14:59:59,0.674
Friday,15:00:00-15:59:59,0.747
Friday,16:00:00-16:59:59,0.79
